INDUSTRY_CODE|DESCRIPTION
4742|commerce de detail de materiels de telecommunication en magasin specia
4743|commerce de detail de materiels audio/video en magasin specialise
4751|commerce de detail de textiles en magasin specialise
4752|commerce de detail de quincaillerie, peintures et verres en magasin sp
4753|commerce de detail de tapis, moquettes et revetements de murs et de so
4754|commerce de detail appareils electromenagers en magasin specialise
4759|commerce de detail de meubles, appareils eclairage et autres articles
4761|commerce de detail de livres en magasin specialise
4762|commerce de detail de journaux et papeterie en magasin specialise
4763|commerce de detail enregistrements musicaux et video en magasin specia
4764|commerce de detail articles de sport en magasin specialise
4765|commerce de detail de jeux et jouets en magasin specialise
4771|commerce de detail habillement en magasin specialise
4772|commerce de detail de chaussures et articles en cuir en magasin specia
4773|commerce de detail de produits pharmaceutiques en magasin specialise
4774|commerce de detail articles medicaux et orthopediques en magasin speci
4775|commerce de detail de parfumerie et de produits de beaute en magasin s
4776|commerce de detail de fleurs, plantes, graines, engrais, animaux de co
4777|commerce de detail articles horlogerie et de bijouterie en magasin spe
4778|commerce de detail de charbon et combustibles
4779|autres commerces de detail de biens neufs en magasin specialise
4781|commerce de detail alimentaire sur eventaires et marches
4782|commerce de detail de textiles, habillement et de chaussures sur event
4783|autres commerces de detail sur eventaires et marches
4784|commerce de detail de fripes
4785|commerce de detail de biens antiquite et de brocante
4789|autres commerces de detail de biens occasion
4791|vente a distance
4799|autres commerces de detail hors magasin, eventaires ou marches
4910|transport ferroviaire interurbain de voyageurs
4920|transports ferroviaires de fret
4931|transports urbains et suburbains de voyageurs
4932|transports de voyageurs par taxis et par louage
4933|autres transports terrestres reguliers de voyageurs, interurbain
4939|autres transports terrestres de voyageurs n.c.a.
4941|transports routiers de fret
4942|services de demenagement
4950|transports par conduites
5010|transports maritimes et cotiers de passagers
5020|transports maritimes et cotiers de fret
5030|transports fluviaux de passagers
5040|transports fluviaux de fret
510|extraction de houille
5110|transports aeriens de passagers
5121|transports aeriens de fret
5122|transports spatiaux
520|extraction de lignite
5211|entreposage et stockage frigorifique
5212|entreposage et stockage non frigorifique
5221|services auxiliaires des transports terrestres
5222|services auxiliaires des transports par eau
5223|services auxiliaires des transports aeriens
5224|manutention
5229|autres services auxiliaires des transports
5310|activites de poste dans le cadre une obligation de service universel
5320|autres activites de poste et de courrier
5510|hotels et hebergement similaire
5520|hebergement touristique et autre hebergement de courte duree
5530|terrains de camping et parcs pour caravanes ou vehicules de loisirs
5590|autres hebergements
5611|restaurantion traditionnelle
5612|restaurantion de type rapide
5621|services des traiteurs
5629|autres services de restauration
5631|cafes
5632|debits de boissons alcoolisees
5811|edition de livres
5812|edition de repertoires et de fichiers adresses
5813|edition de journaux
5814|edition de revues et periodiques
5819|autres activites edition
5821|edition de jeux electroniques
5829|edition autres logiciels
5911|production de films cinematographiques, de video et de programmes de t
5912|post-production de films cinematographiques, de video et de programmes
5913|distribution de films cinematographiques, de video et de programmes de
5914|projection de films cinematographiques
5920|enregistrement sonore et edition musicale
6010|edition et diffusion de programmes radio
6020|programmation de television et telediffusion
610|extraction de petrole brut
6110|telecommunications filaires
6120|telecommunications sans fil
6130|telecommunications par satellite
6190|autres activites de telecommunication
620|extraction de gaz naturel
6201|programmation informatique
6202|conseil informatique
6203|gestion installations informatiques
6209|autres activites informatiques
6311|traitement de donnees, hebergement et activites connexes
6312|portails internet
6391|activites des agences de presse
6399|autres services information n.c.a.
6411|activites de banque centrale
6419|autres intermediations monetaires
6420|activites des societes holding
6430|fonds de placement et entites financieres similaires
6491|credit-bail
6492|autre distribution de credit
6499|autres activites des services financiers, hors assurance et caisses de
6511|assurance vie
6512|autres assurances
6520|reassurance
6530|caisses de retraite
6611|administration de marches financiers
6612|courtage de valeurs mobilieres et de marchandises
6619|autres activites auxiliaires de services financiers, hors assurance et
6621|evaluation des risques et dommages
6622|activites des agents et courtiers assurances
6629|autres activites auxiliaires assurance et de caisses de retraite
6630|gestion de fonds
6810|activites des marchands de biens immobiliers
6821|location de logements
6829|location de terrains et autres biens immobiliers
6831|agences immobilieres
6832|administration de biens immobiliers
6910|activites juridiques
6920|activites comptables
7010|activites des sieges sociaux
7021|conseil en relations publiques et communication
7022|conseil pour les affaires et autres conseils de gestion
710|extraction de minerais de fer
7111|activites architecture
7112|activites ingenierie
7120|activites de controle et analyses techniques
721|extraction de minerais uranium et de thorium
7211|recherche-developpement en biotechnologie
7219|recherche-developpement en autres sciences physiques et naturelles
7220|recherche-developpement en sciences humaines et sociales
729|extraction autres minerais de metaux non ferreux
7311|activites des agences de publicite
7312|regie publicitaire de medias
7320|etudes de marche et sondages
7410|activites specialisees de design
7420|activites photographiques
7430|traduction et interpretation
7490|autres activites specialisees, scientifiques et techniques n.c.a.
7500|activites veterinaires
7711|location et location-bail de voitures et de vehicules automobiles lege
7712|location et location-bail de camions
7721|location et location-bail articles de loisirs et de sport
7722|location de videocassettes et disques video
7729|location et location-bail autres biens personnels et domestiques
7731|location et location-bail de machines et equipements agricoles
7732|location et location-bail de machines et equipements pour la construct
7733|location et location-bail de machines de bureau et de materiel informa
7734|location et location-bail de materiels de transport par eau
7735|location et location-bail de materiels de transport aerien
7739|location et location-bail d autres machines, equipements et biens mate
7740|location-bail de propriete intellectuelle et de produits similaires, e
7810|activites des agences de placement de main-oeuvre
7820|activites des agences de travail temporaire
7830|autre mise a disposition de ressources humaines
7911|activites des agences de voyage
7912|activites des voyagistes
7990|autres services de reservation et activites connexes
8010|activites de securite privee
8020|activites liees aux systemes de securite
8030|activites enquete
811|extraction pierres ornementales, construction et calcaire industriel
8110|activites combinees de soutien lie aux batiments
812|exploitation gravieres et sablieres, extraction argiles et de kaolin
8121|nettoyage courant des batiments
8122|autres activites de nettoyage des batiments et nettoyage industriel
8129|autres activites de nettoyage
8130|services amenagement paysager
820|extraction de phosphates naturels
8211|services administratifs combines de bureau
8219|photocopie, preparation de documents et autres activites specialisees
8220|activites de centres appels
8230|organisation de salons professionnels et congres
8291|activites des agences de recouvrement de factures et des societes info
8292|activites de conditionnement
8299|autres activites de soutien aux entreprises n.c.a.
8411|administration publique centrale
8412|administration des collectivites locales
8413|administration publique (tutelle) de la sante, de la formation, de la
8414|administration publique (tutelle) des activites economiques
8421|affaires etrangeres
8422|defense
8423|justice
8424|activites d ordre public et de securite
8425|services de protection civile
8430|securite sociale obligatoire
8510|enseignement pre-primaire
8520|enseignement primaire
8531|enseignement secondaire (college - 1er cycle)
8532|enseignement secondaire (lycee - 2eme cycle)
8533|enseignement secondaire technique ou professionnel
8541|enseignement post-secondaire non superieur
8542|enseignement superieur
8551|enseignement de disciplines sportives et activites de loisirs
8552|enseignement culturel
8553|enseignement de la conduite
8559|enseignements divers
8560|activites de soutien enseignement
8610|activites hospitalieres
8621|activite des medecins generalistes
8622|activite des medecins specialistes
8623|pratique dentaire
8691|laboratoires analyses medicales
8692|ambulances
8693|activites des auxiliaires medicaux
8699|autres activites pour la sante humaine
8710|hebergement medicalise
8720|hebergement social pour personnes handicapees mentales, malades mental
8730|hebergement social pour personnes agees ou handicapees physiques
8790|autres activites hebergement social
8810|action sociale sans hebergement pour personnes agees et pour personnes
8891|action sociale sans hebergement pour jeunes enfants
8899|autre action sociale sans hebergement n.c.a.
891|extraction des mineraux chimique et engrais mineraux (ex phosphates)
892|extraction de tourbe
893|production de sel
899|autres activites extractives n.c.a.
9000|Other
9001|arts du spectacle vivant
9002|activites de soutien au spectacle vivant
9003|creation artistique
9004|gestion de salles de spectacles
910|activites de soutien extraction hydrocarbures
9101|gestion des bibliotheques et des archives
9102|gestion des musees
9103|gestion des sites et monuments historiques et des attractions touristi
9104|gestion des jardins botaniques et zoologiques et des reserves naturell
9200|organisation de jeux de hasard et argent
9311|gestion installations sportives
9312|activites de clubs de sports
